uid			1/[all]
1909250	4/16	5/8	0/54	30/362
2138750	0/27	0/21	0/6	1/26
2476250	0/12	0/4	0/8	0/14
2874500	3/129	0/86	2/157	3/145
2921750	10/208	1/252	2/116	0/114
317500	0/26	0/27	0/12	0/55
3524750	0/0	0/0	2/35	2/67
3849750	0/0	0/0	0/0	1/21
39750	0/0	0/3	0/0	0/11
4184250	3/46	10/821	6/294	2/312
4215750	5/226	4/286	7/144	4/103
4956000	0/29	1/56	2/96	0/17
5108000	6/198	5/110	7/182	3/55
6874250	25/329	17/315	12/294	11/337
8040000	6/204	1/109	8/263	9/656
9103250	1/30	1/11	0/19	0/13
9344000	0/4	2/32	0/18	0/20
9420500	0/4	0/0	0/0	0/0
10095000	4/69	4/57	1/27	1/7
10831750	0/0	0/0	0/0	2/24
11434750	0/1	0/0	0/0	9/228
2078000	2/50	5/57	5/49	2/36
3257000	0/93	0/129	0/47	0/27
3590000	0/0	0/12	1/21	2/66
3787750	0/2	3/55	0/2	4/58
5898500	0/30	2/69	0/51	2/50
591750	0/1	0/5	0/16	0/30
6523250	0/7	0/98	0/2	0/51
71250	0/0	1/1	0/1	0/0
7367000	5/13	7/57	0/23	7/49
7687500	1/51	5/128	1/111	14/344
9811750	1/39	0/36	0/22	0/20
10064500	1/27	0/8	2/46	3/82
11340250	0/10	0/15	3/109	1/24
11612500	2/117	1/86	1/54	3/34
12065000	1/6	2/2	0/3	0/1
2676250	0/3	0/2	0/0	0/35
3035250	0/0	0/0	2/13	0/60
3226500	0/3	1/3	2/28	1/51
371250	0/0	0/0	2/256	1/106
42000	0/76	1/38	2/80	0/64
4994000	0/3	0/15	1/19	0/1
5754500	3/69	6/48	2/28	6/43
7787500	1/11	0/17	0/7	0/0
8649250	1/43	2/36	1/21	0/1
887500	0/1	2/11	0/2	0/0
9173750	0/0	1/70	9/214	3/197
9628250	0/13	0/3	3/26	1/21
9706000	0/0	1/80	7/213	20/466
981000	0/165	4/254	4/276	2/302
10054250	1/34	0/9	10/142	11/93
10619000	0/32	0/5	1/21	0/2
1459750	0/26	1/37	1/25	0/2
1966250	1/155	0/253	4/304	0/54
3054250	1/7	0/15	6/33	1/13
3293750	0/19	7/38	1/27	2/31
3952000	0/59	1/87	2/144	6/245
4850000	0/56	0/76	2/152	2/103
4963500	0/4	0/21	1/45	4/107
5082750	0/17	0/26	0/46	0/66
5906250	1/46	1/35	1/24	0/24
5980500	0/10	0/5	0/0	0/0
10393750	3/47	4/25	2/17	0/2
11493000	0/11	2/45	9/173	7/101
11894500	1/4	0/1	0/51	1/13
12231250	0/17	0/92	0/53	3/122
1446250	2/10	2/63	2/34	2/36
1985250	0/27	0/25	0/61	0/0
3188000	2/5	0/1	0/25	3/7
3520000	12/148	8/149	5/76	6/95
364250	2/44	0/0	0/0	0/2
38250	1/141	2/65	2/61	5/139
4421250	0/11	0/7	0/14	0/0
5959000	5/73	4/118	0/88	1/66
6247250	0/89	0/47	1/152	4/274
6564500	0/0	0/0	20/538	9/365
7345250	1/4	2/5	0/1	0/19
7699500	9/317	2/397	4/230	7/149
83250	0/2	3/14	1/21	8/41
10047250	1/15	0/2	0/1	2/22
11142000	0/26	2/45	1/79	1/33
1381000	0/14	3/7	4/87	1/24
2428500	1/95	0/34	1/65	1/42
380000	4/53	0/2	0/14	8/59
4102750	0/0	1/33	3/109	0/30
4922750	3/47	3/50	1/9	3/168
5027500	0/6	0/10	0/9	0/5
5769750	14/63	1/56	1/44	3/38
5847500	0/17	0/28	0/24	3/39
6619500	2/20	3/22	1/32	1/35
7927750	0/7	2/57	6/134	0/11
8129250	1/15	2/11	6/72	2/89
10018000	0/23	0/21	0/15	0/67
10063000	1/55	0/10	6/110	0/1
10257500	0/1	0/4	0/3	3/9
10309250	2/20	3/24	0/40	4/61
10513000	1/5	0/0	0/0	0/0
11111500	5/21	0/23	0/35	1/3
11321750	1/64	1/116	5/162	14/262
1148000	0/12	0/4	0/3	0/6
11936000	1/48	0/39	0/31	1/75
12337750	0/15	0/10	2/26	0/17
1240250	0/0	2/21	0/28	2/109
145750	4/24	0/11	3/20	1/7
1517000	0/0	0/0	1/24	5/58
1812000	0/11	0/21	5/132	1/22
2251750	4/61	1/46	0/31	0/27
2492500	7/141	1/23	0/27	8/141
5012750	3/62	0/5	0/38	13/132
5143250	1/26	18/176	4/70	2/75
6848750	3/37	6/107	3/120	3/61
7286500	0/0	0/0	0/2	0/1
7545250	0/7	2/30	1/64	1/40
8271000	2/16	0/13	0/6	0/5
8997500	0/0	0/10	0/3	0/5
9782000	1/23	3/31	4/31	1/9
10069500	6/30	4/31	7/49	2/17
10401500	0/40	6/108	2/162	5/85
10774750	0/12	0/71	1/77	3/104
11167500	0/0	0/0	0/0	0/1
11874000	1/46	0/44	2/154	9/95
1324500	5/127	11/113	3/22	4/80
3981750	1/70	5/119	4/71	0/41
452750	10/95	5/50	1/21	4/16
47000	2/10	1/13	3/12	0/0
5068750	0/0	0/4	0/0	0/0
6003750	6/75	11/131	6/93	6/123
6754250	1/13	1/60	0/12	0/22
6867750	0/55	0/1	0/40	0/12
7016500	1/72	1/83	0/30	1/17
7190750	0/0	0/0	0/0	4/30
7320250	5/38	0/7	0/3	0/2
7886000	7/173	0/145	2/131	0/125
8033500	1/28	3/196	8/105	0/9
10261750	11/269	12/169	14/224	7/60
10588000	1/80	2/34	2/77	1/26
10790500	1/5	0/7	0/3	1/3
11730000	2/47	4/151	8/140	4/161
11972750	4/11	6/33	4/21	3/27
1724000	1/37	0/61	0/3	0/2
2168250	7/79	0/39	0/26	2/80
2870250	0/34	9/421	3/90	5/51
3795000	0/4	0/38	1/93	2/43
4853750	0/3	0/0	1/12	1/6
4902250	0/12	4/96	3/108	1/19
5052000	1/66	0/1	2/41	0/6
6400000	0/0	0/18	18/136	4/52
711500	1/8	15/213	16/261	5/79
9437500	3/17	2/55	0/13	2/16
10492250	4/203	6/307	1/148	4/234
10609250	2/24	8/75	0/21	1/13
1074500	0/8	2/43	2/11	3/12
10845500	0/56	0/5	0/85	0/7
11496750	1/20	1/24	0/10	0/27
154500	2/99	3/63	2/168	7/187
1953250	2/58	4/94	9/100	7/107
2182750	2/16	2/37	2/30	1/32
2378500	1/24	3/36	4/24	8/74
2920750	6/87	4/218	7/241	2/87
3075000	0/8	0/2	0/2	0/3
3363000	0/41	0/20	1/42	2/51
4004500	0/14	3/23	2/14	0/31
4054000	2/4	3/11	2/5	1/2
4133750	1/62	1/46	14/167	1/58
5187750	0/10	0/83	2/27	0/10
573000	0/65	3/109	0/29	4/157
7103000	0/16	2/45	1/42	6/240
7269250	9/45	14/73	0/1	1/7
7476250	2/42	4/43	1/62	1/60
848500	1/57	1/30	1/154	3/119
9212500	0/5	0/18	2/23	0/30
9794000	1/12	2/2	1/5	0/3
9906500	0/47	0/31	6/129	5/96
11032250	0/0	0/38	0/36	0/18
1140750	6/95	4/127	5/115	3/84
11564250	0/17	0/12	16/106	2/49
2200750	5/79	6/113	2/63	1/36
2688750	0/2	0/8	2/30	6/82
2737250	0/24	0/11	0/26	0/0
4186500	0/0	0/0	1/36	0/4
5239500	1/18	1/17	4/68	0/43
5491500	4/385	4/246	8/191	2/222
5994250	0/42	0/19	0/13	0/42
6766250	2/28	2/41	5/48	1/32
6957500	1/72	4/81	3/119	5/60
7657250	1/5	0/55	3/35	3/33
835000	0/18	6/74	17/173	0/1
8702500	2/56	9/196	5/456	5/46
8949750	0/7	0/4	0/23	4/196
9394500	5/33	1/21	3/29	6/50
10112000	0/7	0/6	0/7	1/5
10322250	0/0	5/42	0/14	3/34
11984750	2/167	2/204	1/232	2/462
1815750	0/7	1/15	1/14	0/13
2788750	2/86	5/178	2/132	4/156
3149000	0/27	2/58	2/79	0/68
3723750	5/95	2/43	2/32	0/16
4047000	2/22	0/17	1/29	5/71
5968250	0/1	2/46	1/32	3/53
6205000	0/15	0/2	1/27	0/7
6654750	0/28	1/63	1/33	0/35
7306250	1/66	0/80	1/78	2/73
7513250	0/0	0/0	1/32	0/96
8145500	0/6	0/1	0/0	3/3
8195000	1/62	4/276	0/73	3/38
9782500	0/17	2/41	0/26	1/38
980000	0/10	0/6	0/0	0/26
11552750	0/7	1/12	0/26	1/89
11683250	0/15	0/41	3/16	1/24
11716000	0/0	0/1	0/0	0/0
11923000	0/4	0/7	0/5	0/3
12371000	4/31	1/14	6/82	10/85
1699500	0/13	0/12	0/3	6/24
1758250	0/10	2/26	3/42	3/52
3168000	0/0	0/0	1/3	0/7
341000	1/70	1/44	0/45	0/117
5199750	0/7	1/6	1/18	0/24
5293250	7/70	3/67	2/113	1/80
7034000	5/273	1/71	2/96	0/43
7163250	1/51	0/17	6/109	2/101
7435500	1/36	3/30	1/14	1/11
745750	3/112	2/112	0/9	2/45
8248750	0/6	0/1	0/7	0/27
9436000	0/21	1/49	0/43	2/79
10185750	0/6	0/0	0/3	0/4
1104500	0/37	1/299	1/101	1/147
1934750	0/30	0/15	0/53	0/28
200250	0/21	6/70	5/94	1/27
266500	0/2	1/6	7/25	1/10
3266750	3/68	0/18	0/17	1/38
3310750	1/33	1/58	5/161	3/54
3588500	6/198	1/129	4/187	0/33
4376250	0/30	2/68	14/105	7/106
4533750	1/22	1/24	3/27	1/23
7003500	0/0	0/10	0/6	2/20
764750	0/13	1/6	0/8	0/11
8070000	0/1	0/8	0/4	1/44
82250	0/8	0/0	0/0	0/0
8230750	1/14	7/44	0/1	0/0
8523250	0/20	0/19	1/8	2/30
8633500	2/16	2/30	0/19	0/0
8730250	10/120	26/299	12/172	0/30
8799750	2/59	5/143	4/66	4/63
8848250	0/24	0/8	0/5	0/6
9039750	0/28	7/124	0/13	2/192
9199500	0/19	1/51	1/22	2/56
9982500	1/11	0/8	3/51	0/11
1047000	0/4	0/0	0/0	0/3
10654750	0/2	0/0	0/18	1/68
2768250	0/0	0/1	0/2	1/76
3573750	0/44	1/19	3/27	0/17
382250	0/2	0/0	0/19	0/60
4392000	0/0	1/28	0/0	0/0
4423500	2/62	6/72	0/20	0/21
4557250	0/2	2/27	0/23	0/7
4680000	0/2	0/8	0/5	1/20
5155750	0/0	6/88	5/119	1/49
5238000	6/41	2/36	5/113	1/52
5440500	0/1	0/3	2/10	2/10
5655250	1/141	4/171	1/313	3/331
6299000	0/14	0/22	0/6	1/4
7269750	0/0	1/5	0/7	1/25
7892000	3/121	2/145	1/131	1/106
832250	5/65	3/79	3/61	0/39
8529750	3/165	4/85	2/87	1/173
8940500	6/169	0/97	2/118	2/101
9972250	0/6	0/44	1/48	1/21
10592750	1/21	3/34	0/25	1/38
10966250	1/22	6/60	0/4	2/18
2331750	7/39	3/113	6/110	5/118
3549000	0/40	0/52	0/66	1/130
3592750	2/15	4/92	0/50	0/6
3675000	0/10	1/18	11/62	2/20
3751500	1/5	0/2	0/12	4/7
4447000	0/1	0/12	0/15	0/20
4814750	0/3	1/3	0/16	0/11
5336750	3/40	7/56	3/55	1/9
5467250	0/24	3/51	0/32	0/21
6603750	0/2	0/2	0/20	0/6
6768000	0/0	0/0	0/0	0/12
8435250	4/196	5/84	6/228	2/84
9121750	3/47	6/138	3/37	3/33
9202750	0/0	0/1	0/1	0/9
9946250	1/2	0/22	6/34	0/52
11535500	0/2	0/0	0/0	0/0
11632250	0/36	0/16	1/33	3/15
1247000	1/9	5/36	0/13	1/15
2148250	0/2	0/1	0/2	0/20
2350750	1/7	0/9	0/11	0/50
2882750	1/18	3/25	7/33	0/6
2968250	6/44	1/43	1/20	3/35
3405000	0/38	1/43	0/72	0/22
5226500	3/80	1/45	2/32	0/13
5320000	1/65	1/66	0/11	0/0
5438000	0/3	0/20	0/8	0/1
7060500	0/14	0/23	0/164	0/52
776750	5/136	8/147	7/215	3/32
10212500	0/0	3/37	0/2	6/17
1025250	1/11	0/5	0/36	5/63
11022500	0/0	0/21	0/2	0/22
139000	0/1	0/5	0/0	0/0
2033500	4/39	5/105	10/446	3/140
2808500	0/2	1/35	0/4	0/37
4118250	0/2	1/78	0/4	0/6
472000	1/37	1/66	0/42	22/119
4804500	0/0	1/2	0/1	0/4
4809000	2/13	2/9	0/0	1/11
4886500	3/60	2/17	1/6	0/6
5248750	0/0	0/0	0/1	9/188
5745000	0/7	0/0	0/171	0/96
747500	0/3	0/0	0/0	0/1
7854500	4/62	4/76	11/83	3/59
8216750	0/6	0/14	0/30	2/62
10443000	0/2	0/39	6/316	3/92
10653250	0/0	0/5	6/347	1/98
11078500	0/9	0/4	0/2	3/19
11625250	3/41	4/65	0/0	11/30
11947000	8/65	3/126	7/132	4/51
3312500	1/37	0/4	0/6	0/25
3734250	1/17	0/6	0/3	0/2
3892750	0/24	0/0	0/0	0/6
4454500	1/8	0/13	2/24	15/119
5264500	4/267	2/273	0/163	0/159
6458250	0/0	0/0	0/2	4/22
6900500	0/1	0/0	0/16	1/15
7600250	0/13	0/77	2/101	3/76
7715000	2/184	0/83	2/59	2/66
7797000	0/64	5/130	1/31	0/51
892500	8/85	6/140	6/219	1/180
10818500	5/139	1/98	1/81	3/77
10915250	0/18	0/6	0/44	0/3
11141500	0/0	0/2	0/0	0/5
1173500	10/113	11/101	3/145	0/21
12204750	0/3	0/1	1/2	2/41
1338750	4/134	1/137	2/12	0/0
2076000	0/0	0/100	2/49	0/34
2448250	0/0	1/16	1/61	1/27
2891500	8/294	21/433	17/312	5/139
2940000	3/810	8/682	18/582	2/333
4059500	0/30	0/27	3/63	2/91
4153000	4/73	3/26	2/22	6/45
415500	2/38	2/45	3/15	1/20
4895250	5/89	6/79	5/95	1/23
5899750	2/120	0/0	1/32	0/38
5911250	0/0	0/0	0/0	0/21
6014750	0/13	0/5	0/33	0/2
7494250	0/10	0/8	0/8	0/15
7976750	0/21	1/54	3/45	0/14
8049000	0/37	6/123	2/53	5/86
8628250	0/77	1/56	2/82	2/182
10756500	3/29	1/14	0/5	1/7
10885750	1/6	0/0	0/2	0/0
1118250	6/88	5/64	6/73	6/82
12016750	14/144	3/52	3/43	0/60
12142750	0/72	1/81	0/35	0/21
1244250	6/116	3/75	3/19	2/25
1767500	4/59	2/22	0/10	1/4
2386250	0/5	4/42	0/18	9/26
2752000	0/37	2/41	5/83	13/153
439000	5/162	13/249	19/340	2/96
5061750	0/2	0/1	0/4	0/0
5962750	6/30	3/18	3/19	6/28
7143250	17/113	11/127	7/82	8/105
9079500	0/0	0/0	1/28	9/55
9123500	7/41	0/27	8/71	10/127
969750	1/70	0/24	5/69	0/4
10539250	2/12	3/13	0/33	2/17
11137750	0/0	0/0	0/0	7/90
1459000	0/24	0/4	0/13	1/17
1911500	2/81	0/22	0/427	1/172
4097500	0/1	0/1	0/10	0/11
4259500	0/1	4/47	4/86	3/82
4547500	0/75	0/47	0/52	1/34
5037000	6/157	4/101	0/22	5/273
5279750	7/239	0/77	1/123	3/167
5726500	0/0	0/2	3/42	2/229
7405250	0/4	1/9	0/18	0/7
746000	0/6	1/7	2/23	6/49
7568250	0/0	0/1	0/41	0/5
8163500	1/81	5/508	0/252	1/151
8215250	1/22	0/19	0/8	0/22
9179500	9/117	3/183	2/65	4/101
9352750	0/6	2/12	0/2	9/30
9807250	0/27	1/52	11/182	0/73
9839750	0/17	1/31	0/27	0/9
10799000	0/0	0/0	0/0	0/4
10972250	1/24	1/9	1/12	0/1
11158000	1/67	3/41	8/82	7/67
11494250	0/4	0/15	0/33	3/64
11734000	1/77	2/74	2/76	0/43
11737250	0/0	0/1	0/7	0/1
11782250	0/0	1/12	1/3	0/1
2006000	0/0	0/5	0/2	0/4
2088000	3/35	5/95	0/27	3/73
3396250	2/13	0/8	1/8	0/6
3846250	5/50	8/183	0/46	4/200
4115500	1/8	1/8	0/0	4/36
4370750	0/103	3/133	1/174	2/133
65500	1/62	3/159	4/134	2/93
8072250	4/44	2/18	8/119	1/60
1492500	0/9	2/57	1/103	1/108
1528500	6/49	3/57	8/165	6/102
1792000	2/144	0/179	0/89	4/193
2316250	4/49	1/34	7/66	4/48
2557000	0/5	0/12	0/3	0/19
3317500	2/39	3/121	4/125	1/37
417250	1/43	0/12	3/27	0/7
4378500	2/60	0/1	2/28	0/2
4503500	0/0	0/9	7/92	1/71
4876750	0/5	0/7	0/15	5/216
6126750	0/0	0/3	0/1	4/56
6872750	0/0	0/0	0/0	1/29
7184500	4/127	6/154	0/109	4/129
8156500	2/80	4/33	2/13	4/144
8172250	0/2	0/2	0/1	0/3
8528750	1/47	3/29	0/0	1/4
9586500	1/21	3/66	0/75	5/118
11114000	0/6	2/83	0/24	0/9
11772000	0/3	0/1	0/2	0/11
12015250	0/0	0/0	0/0	0/11
140500	0/5	0/0	0/9	6/19
1641000	0/1	0/0	0/0	0/0
2364500	0/21	2/27	0/4	0/11
2733500	0/26	1/18	1/23	0/2
3014750	2/68	0/20	1/32	5/72
3096750	0/0	0/20	0/4	2/15
3511000	0/75	0/0	0/0	4/189
4782250	0/13	0/9	2/29	6/59
5170500	2/93	2/130	2/33	1/89
6233750	3/43	3/7	14/29	1/6
6848000	0/17	1/31	1/10	3/25
8017000	0/0	0/0	18/92	0/9
8353250	2/38	3/39	3/66	5/125
9076750	0/8	1/52	0/96	2/86
9979000	6/109	0/65	0/34	0/0
10119250	0/5	0/2	0/9	0/70
11131750	0/3	1/26	0/52	2/78
11631250	0/2	0/12	0/2	0/10
11794250	0/3	1/20	2/30	1/38
3148500	6/29	3/43	1/92	10/112
3245250	0/0	0/0	0/4	1/20
3326250	1/5	6/41	5/26	0/4
3404000	61/333	12/84	6/46	0/35
4625750	0/29	1/35	3/126	15/190
5110750	0/1	4/25	4/39	4/32
6301250	3/63	5/120	1/81	10/125
6380000	0/2	2/33	0/42	1/11
691500	3/217	0/129	11/178	10/207
7918750	1/26	0/24	0/19	0/23
8160750	0/0	0/0	0/0	6/63
8327250	1/1	0/0	0/0	0/0
8822250	0/0	1/13	0/0	2/22
9015000	0/4	0/8	0/5	0/2
9513250	5/95	1/140	3/132	1/113
9671750	0/35	0/44	0/27	1/65
11558000	0/35	1/27	3/38	0/24
1838750	0/1	0/12	2/14	0/6
2198750	2/8	0/13	1/63	3/82
2616250	0/1	0/0	0/0	0/0
267250	11/91	4/24	3/18	0/27
2807500	2/34	15/190	1/33	11/116
2823250	0/24	1/22	1/18	0/24
299750	1/62	0/34	1/50	1/24
3009000	0/4	0/9	9/166	24/138
393250	0/10	2/106	1/15	3/52
5082500	0/0	0/1	0/15	0/16
5828250	0/8	0/7	0/22	2/36
64000	0/8	0/3	0/27	0/33
6807250	2/93	1/59	3/117	5/101
7211250	0/6	0/4	4/13	0/0
7568750	0/30	0/16	1/32	1/67
791500	0/80	2/29	1/32	9/247
8346250	0/0	0/11	2/16	0/3
8792750	0/20	0/2	0/0	0/17
8909750	0/29	1/19	1/50	3/46
11121500	0/1	5/37	0/0	7/65
11129250	0/126	1/102	0/164	1/100
11527500	0/18	2/33	0/23	1/30
1365000	2/21	0/9	1/16	0/8
1441500	0/34	1/3	0/0	0/77
1449250	0/1	0/0	0/0	0/0
1688750	1/83	1/71	1/41	3/50
2103250	3/96	1/44	9/152	6/94
3684750	2/71	1/4	0/6	0/18
3799500	0/1	0/3	1/5	1/9
4087750	0/0	0/44	0/76	0/132
448250	0/0	0/0	0/7	3/23
4631250	2/58	0/23	0/46	2/48
4712250	0/0	1/5	0/10	3/29
5522250	0/48	2/145	1/81	0/46
5957500	2/46	0/36	0/18	0/0
650750	0/0	2/25	0/0	0/2
6904000	1/83	0/0	0/0	1/24
731750	0/8	5/70	2/56	4/76
9215000	0/6	0/0	0/62	2/185
11352000	1/59	0/9	0/9	0/13
12331000	0/51	12/144	1/37	0/8
1622500	5/200	4/121	4/123	1/36
1627000	0/1	0/3	0/5	0/0
1710500	0/52	0/57	1/65	2/121
2232500	0/24	1/61	3/37	4/143
252500	1/13	0/5	4/26	3/35
3010000	0/0	1/9	1/2	1/10
3335000	0/0	0/0	0/2	0/9
3781500	0/25	0/17	1/27	0/23
4317250	2/52	5/79	0/25	1/20
4475750	0/137	7/277	5/222	9/294
5078750	5/81	9/96	7/82	5/56
5287000	0/7	0/1	0/7	0/21
5910250	2/17	1/10	0/15	0/22
6015000	0/7	0/4	0/61	0/16
621500	2/136	0/59	3/79	1/90
6264750	0/0	0/9	1/12	0/10
6266000	0/13	1/24	0/2	2/2
6683250	0/2	0/53	0/9	0/0
6921750	0/23	1/10	0/143	4/138
7445000	0/7	0/2	4/45	0/4
8910750	2/33	0/25	12/166	4/189
9651250	0/5	0/19	2/27	4/61
9685000	1/8	0/19	0/9	2/34
9716500	1/36	1/35	0/17	2/29
9842500	1/54	5/102	3/73	8/104
9973000	0/0	0/0	0/0	0/60
10642000	0/0	0/17	3/91	22/273
10933250	0/26	0/2	0/0	0/0
1114000	1/14	0/1	0/3	0/16
11646500	0/11	0/19	0/15	0/7
11939000	1/43	0/9	0/27	1/82
1194750	14/49	0/21	17/83	13/101
1531250	2/93	2/66	2/255	1/88
1782250	1/35	3/38	3/33	4/127
190500	0/2	1/8	1/19	1/13
2704750	0/7	1/11	13/54	1/10
29750	0/14	0/0	0/0	0/0
3304500	6/67	14/82	14/101	19/117
5256500	2/6	0/14	3/39	2/28
567250	5/27	2/33	5/32	0/2
5751500	7/81	4/51	3/34	5/38
599750	2/44	1/28	6/67	2/72
6571750	0/2	0/7	3/35	4/50
7383000	0/6	0/7	0/2	0/0
805750	0/3	0/5	0/9	0/26
887750	2/42	4/90	5/102	0/18
9044750	0/0	0/0	0/3	0/4
965500	0/5	1/52	2/28	1/65
10533750	3/36	1/43	0/15	6/55
1165500	0/0	0/1	3/22	0/2
1181250	1/12	3/107	5/92	1/116
12275500	0/16	2/42	3/39	2/15
2480750	3/52	1/26	1/22	0/8
3295250	0/0	0/3	0/0	0/0
3742000	14/147	1/93	2/57	2/24
8243500	5/56	3/78	9/152	5/47
8324500	2/22	2/34	1/25	1/36
9351750	1/116	3/147	0/66	3/43
9592500	0/78	0/54	1/25	0/79
984500	1/120	8/59	0/7	0/14
10185000	0/14	0/24	0/0	0/0
10264750	1/5	0/0	0/0	0/4
10840750	0/10	0/13	0/76	0/37
11440500	3/82	8/91	2/59	0/44
1189000	0/0	13/253	3/22	3/35
11896000	2/28	3/67	0/53	1/34
1806750	0/9	1/22	0/0	3/33
19500	0/55	2/91	6/145	2/24
2050000	0/0	0/0	1/195	9/187
232000	0/14	2/42	4/101	1/129
2988000	1/13	1/23	7/33	0/26
3216500	0/10	0/18	5/42	2/73
3719250	0/20	0/35	1/58	2/77
5139250	3/209	4/155	1/62	0/3
6354500	0/0	0/4	0/9	0/6
6852750	0/6	3/56	1/26	3/58
764000	0/3	0/22	2/10	1/31
8314250	0/46	2/99	1/96	10/194
8508750	0/0	0/1	0/2	0/0
9278500	0/1	0/6	0/7	0/0
9488750	0/0	0/6	0/0	0/0
10816000	0/0	0/0	0/0	0/2
11949750	3/41	1/50	6/50	2/50
12234750	3/96	1/19	8/103	2/104
12239250	1/29	12/120	1/45	1/62
3288250	4/145	0/66	1/22	1/7
3410000	0/0	0/33	0/2	0/0
3977750	0/8	1/13	3/32	2/30
4921000	8/81	1/64	0/56	0/23
5024500	0/24	0/39	7/412	3/187
5608250	0/8	0/61	0/9	0/9
5812000	8/154	5/174	6/123	16/98
6172000	1/11	0/0	2/24	0/10
6713250	15/95	1/19	3/31	10/100
7361250	0/21	1/40	1/27	0/13
7893250	0/0	0/11	0/15	0/45
7921500	2/48	5/54	1/10	0/1
9394250	3/136	1/94	1/102	4/97
10592000	0/96	2/265	2/189	0/44
11307500	0/28	6/59	2/39	2/62
12384250	1/11	0/23	1/19	1/29
2253250	3/118	1/106	1/177	0/87
4189500	0/2	0/1	1/36	0/2
4399750	0/3	6/49	0/40	0/1
5465250	0/5	0/32	0/2	0/1
5915250	0/17	4/33	4/20	2/16
6234000	1/123	6/118	0/47	6/193
6683750	2/38	0/14	2/40	4/291
7830250	3/15	0/12	0/2	0/18
8096750	7/174	1/120	1/154	2/212
8430000	0/2	2/40	0/5	0/27
10000250	1/17	0/1	2/11	2/25
10566000	0/0	3/74	0/8	0/72
10598500	0/60	0/11	1/14	5/38
10773000	8/205	1/129	2/144	4/132
11711250	1/62	3/76	12/157	0/4
12229000	2/38	0/20	0/6	12/42
1617250	3/16	5/55	6/290	5/48
2756000	0/9	0/23	0/25	0/70
4257000	0/3	0/0	2/119	1/45
4304250	1/10	2/4	1/2	5/29
4336750	1/31	0/11	0/20	0/30
4658500	4/113	6/157	3/53	2/67
