Items,A0,A1,A2,A3
21423,1,0,0,0
18932,12,0,2,0
18933,1,0,0,0
18938,3,0,0,0
24149,2,0,0,0
8842,51,4,0,0
8845,1,0,0,0
13464,4,0,0,0
14521,4,0,0,0
7668,6,0,0,0
7660,16,0,0,0
26815,9,0,0,0
26811,1,0,0,0
11843,2,0,0,0
11842,1,0,0,0
11190,3,0,0,0
24551,6,0,0,0
24553,2,1,0,0
24554,5,0,0,0
24558,6,0,0,0
14342,12,0,0,0
1546,15,1,0,0
1547,89,0,0,0
690,2,0,0,0
1545,7,0,0,0
696,4,0,0,0
14341,6,0,0,0
694,1,0,0,0
14471,7,0,0,0
14470,14,2,0,0
28355,1,0,0,0
14472,2,0,0,0
11768,1,0,0,0
14477,1,0,0,0
28422,3,0,0,0
8713,1,0,0,0
8715,3,0,0,0
8717,23,0,1,0
8719,286,4,1,1
13844,13,2,1,0
13848,3,0,0,0
14349,1,0,0,0
3010,1,0,0,0
5619,11,1,0,0
3048,1,0,0,0
5613,2,0,0,0
5617,1,0,0,0
18122,3,0,0,0
5615,2,0,0,0
21195,1,0,0,0
11568,1,0,0,0
23267,8,0,0,0
23262,1,0,0,0
23260,13,1,1,0
1254,1,0,0,0
11561,2,0,0,0
11562,2,0,0,0
11563,7,0,0,0
11564,6,0,0,0
11565,7,0,0,0
11566,2,0,0,0
23269,1,0,0,0
3042,1,0,0,0
9257,1,0,0,0
22247,1,0,0,0
22246,160,17,0,0
22244,53,1,0,0
22240,16,2,0,0
26757,2,0,0,0
25040,1,0,0,1
25735,4,0,0,0
25733,133,4,0,0
9250,25,1,0,0
6778,5,0,0,0
27396,17,1,0,0
27394,8,2,0,0
27395,1,0,0,0
6770,9,0,0,0
6771,7,0,0,0
27390,22,1,0,0
6773,1,0,0,0
1253,15,0,0,0
9967,5,0,0,0
9962,1,0,0,0
9968,3,0,0,0
4664,3,0,0,0
19918,8,0,0,0
259,10,2,0,0
16723,1,0,0,0
16722,68,8,0,0
19913,4,0,0,0
251,372,10,2,0
255,52,4,0,0
12033,42,0,0,0
12036,3,0,0,0
12035,1,0,0,0
9502,21,0,0,0
9503,6,0,0,0
9506,1,0,0,0
9504,4,0,0,0
21632,27,3,0,0
21636,6,0,0,0
23345,6,0,0,0
3686,9,0,0,0
3684,1,0,0,0
2518,1,0,0,0
2519,4,1,0,0
2515,1,0,0,0
2516,4,0,0,0
26042,8,0,0,0
26047,1,0,0,0
2513,73,11,1,0
23831,11,1,0,0
3533,2,0,0,0
3532,1,0,0,0
5058,12,0,0,0
3534,33,1,0,0
3536,68,1,0,0
5054,13,0,0,0
5055,1,0,0,0
4661,3,0,0,0
5050,4,0,0,0
5051,5,0,0,0
5053,60,6,1,1
21291,2,0,0,0
21925,4,1,0,0
22523,26,1,0,0
10760,6,0,0,0
14642,1,0,0,0
14643,15,0,0,0
14864,4,0,0,0
14646,27,0,0,0
14863,7,0,0,0
14860,1,0,0,0
14645,5,0,0,0
18544,23,3,1,0
14648,3,0,0,0
2795,1,0,0,0
18541,1,0,0,0
18540,6,0,0,0
18542,1,1,0,0
22603,1,0,0,0
13070,177,1,0,0
13074,2,0,0,0
13077,5,0,0,0
13079,21,0,0,0
13891,33,1,3,0
18765,6,0,0,0
18095,13,0,0,0
27806,2,0,0,0
27552,1,0,0,0
27553,5,0,0,0
20279,32,1,0,0
10184,1,0,0,0
10180,4,0,0,0
10183,2,0,0,0
10188,29,0,0,0
29290,7,0,1,0
29295,2,0,0,0
1159,2,0,0,0
1155,30,2,0,0
23071,27,1,0,0
23070,2,0,0,0
1151,7,0,0,0
23076,28,0,0,0
23075,3,0,0,0
23074,2,0,0,0
15118,1,0,0,0
15114,37,0,0,0
15116,31,0,0,0
15110,2,0,0,0
29125,18,0,0,0
29123,3,0,0,0
29122,1,0,0,0
29121,3,0,0,0
25897,1,0,0,0
29129,4,0,0,0
25894,2,0,0,0
22877,12,0,0,0
28028,2,0,0,0
8034,5,0,0,0
8039,4,0,0,0
8038,17,0,1,0
8529,1,0,0,0
8528,19,1,1,0
12583,2,1,0,0
12853,10,1,0,0
12852,2,0,0,0
12587,9,0,0,0
12586,70,3,0,0
26603,1,0,0,0
26607,10,1,0,0
26605,64,1,1,0
22878,1,0,0,0
26608,42,2,0,0
23407,66,2,0,0
22654,1,0,0,0
22651,1,0,0,0
22658,1,0,0,0
22659,9,0,0,0
26545,7,0,0,0
26546,69,9,0,0
26547,3,0,0,0
22382,3,0,0,0
22380,44,0,0,0
22384,1,0,0,0
4298,2,0,0,0
13984,8,0,0,0
4294,11,1,0,0
13986,2,0,0,0
13987,4,0,0,0
4290,2,0,0,0
4293,1,0,0,0
23381,16,0,0,0
23380,1,0,0,0
28654,1,0,0,0
23382,1,0,0,0
28653,267,19,3,0
23389,4,0,0,0
24763,3,0,0,0
24764,17,1,0,0
28659,1,0,0,0
22030,4,0,0,0
22032,6,0,0,0
22034,5,0,2,0
22039,1,0,0,0
4748,1,0,0,0
4743,1,0,0,0
13673,1,0,0,0
4741,2,0,0,0
19767,12,0,0,0
16008,1,0,0,0
16009,51,2,1,0
5863,48,2,0,0
1329,5,0,0,0
17359,3,0,0,0
17609,9,0,0,0
17606,299,6,0,0
17357,2,0,0,0
17356,3,1,0,0
17603,1,0,0,0
17352,12,1,0,0
25386,20,2,0,0
2181,1,0,0,0
25382,2,0,0,0
25381,10,2,0,0
25380,45,0,0,0
4607,3,0,0,0
4605,9,0,0,0
13512,12,0,0,0
25389,1,0,0,0
4601,1,0,0,0
12420,2,0,0,0
23926,2,0,0,0
6906,19,0,0,0
12239,2,0,0,0
23928,232,20,1,0
6904,6,0,1,0
27231,7,0,0,0
27233,2,0,0,0
19589,4,0,0,0
8138,9,0,0,0
19582,4,0,0,0
27238,3,0,0,0
19580,1,0,0,0
155,195,16,2,1
12426,8,2,1,0
157,2,0,0,0
7583,4,0,0,0
20717,4,0,0,0
20716,7,0,0,0
20715,3,0,0,0
12427,1,0,0,0
20863,1,0,0,0
20862,6,0,0,0
6459,2,0,0,0
25561,4,0,0,0
25565,7,0,1,0
19250,3,0,0,0
8137,1,0,0,0
19636,2,0,0,0
16117,1,0,0,0
15438,5,0,0,0
6180,11,0,0,0
15439,1,0,0,0
28547,2,0,0,0
2725,1,0,0,0
2722,6,0,0,0
2729,80,4,0,1
15860,13,1,0,0
9193,7,4,1,0
7235,16,0,0,0
9195,32,9,1,0
7233,9,1,0,0
7230,53,6,0,0
7943,30,2,0,0
10375,1,0,0,0
10373,2,0,0,0
10370,3,0,0,0
16918,43,0,3,0
16914,2,0,0,0
9746,2,0,0,0
16913,30,4,0,0
29362,6,0,0,0
12208,3,0,0,0
12209,4,1,0,0
6234,2,0,0,0
6236,3,0,0,0
12202,14,0,0,0
10518,3,0,0,0
10513,2,0,0,0
9777,1,0,0,0
29354,1,0,0,0
10514,5,0,0,0
18950,15,0,1,0
8865,2,0,0,0
24168,8,0,0,0
8863,1,0,0,0
8860,24,4,0,0
8861,1,0,0,0
14989,10,0,1,0
18958,2,1,0,0
24167,2,0,0,0
21400,42,1,0,0
8868,17,0,0,0
8869,14,0,0,0
818,3,0,0,0
819,56,2,0,0
812,1,0,0,0
814,2,0,0,0
26834,1,0,0,0
26837,10,0,0,0
19153,1,0,0,0
24151,11,0,0,0
5267,195,4,2,0
5266,6,0,0,0
5265,1,0,0,0
5264,3,1,0,0
1704,1,1,0,0
1706,4,0,0,0
1707,10,0,0,0
1708,2,0,0,0
14182,178,3,0,0
14185,1,0,0,0
14184,1,0,0,0
5269,2,0,0,0
5268,9,1,0,0
15854,3,0,0,0
15856,4,0,0,0
15853,1,0,0,0
15858,7,0,1,0
15859,28,2,0,0
2090,2,0,0,0
14504,1,0,0,0
13409,2,0,0,0
14454,1,0,0,0
14451,52,2,0,0
14450,6,0,0,0
24576,14,0,0,0
24575,3,0,0,0
24574,4,0,0,0
24572,3,0,0,0
24571,16,5,0,0
18379,4,0,0,0
28409,6,1,0,0
16377,1,0,0,0
17986,26,0,0,0
3027,6,0,0,0
28401,12,1,0,0
3024,1,0,0,0
28404,1,0,0,0
15586,1,0,0,0
15584,561,30,4,0
8739,29,0,0,0
8737,14,0,0,0
8735,3,0,0,0
8731,3,0,0,0
13865,1,0,0,0
4195,2,0,0,0
4193,1,0,0,0
5670,11,0,0,0
3954,3,2,0,0
8830,2,0,0,0
23189,4,0,0,0
23245,11,0,0,0
23246,4,0,0,0
23241,21,1,0,0
23242,2,0,0,0
12447,14,0,0,0
12444,8,0,0,0
6434,9,0,0,0
15322,16,2,0,0
6432,8,0,0,0
15320,11,0,1,0
15321,2,0,0,0
27004,1,0,0,0
12449,1,0,0,0
25875,1,0,0,0
6759,1,0,0,0
6757,1,2,0,0
6754,2,0,1,0
9943,1,0,0,0
9946,13,0,0,0
9944,7,0,0,0
9948,29,3,0,0
9949,1,0,0,0
16217,18,3,1,0
19247,2,0,0,0
16745,2,0,0,0
16748,1,0,0,0
28423,1,0,0,0
19938,2,0,0,0
12052,15,1,0,0
12055,149,7,0,0
239,61,12,0,0
12056,11,0,0,0
12058,2,0,0,0
230,6,0,0,0
20607,1,0,0,0
25714,3,0,0,0
25715,6,0,0,0
25717,3,0,0,0
27928,3,1,0,0
26802,2,0,0,0
21877,5,0,0,0
21655,2,0,0,0
21657,151,5,0,0
21659,90,1,1,0
21878,2,0,0,0
22319,135,0,3,0
26067,15,0,0,0
2538,1,0,0,0
2534,2,0,0,0
2535,17,0,0,0
20257,4,0,0,0
17167,6,0,0,0
17163,2,0,0,0
17160,3,0,0,0
22831,12,0,0,0
22833,4,0,0,0
5077,30,1,0,0
22836,36,1,0,0
17169,5,0,0,0
939,1,0,0,0
9563,159,10,3,0
9565,1,0,0,0
9566,3,0,0,0
9567,97,10,1,0
932,3,0,0,0
10745,11,0,0,0
930,2,0,0,0
937,23,0,1,0
10742,1,0,0,0
10741,23,1,1,0
10740,3,2,0,0
5380,1,0,0,0
14669,5,0,0,0
14848,1,0,0,0
14849,1,0,0,0
5387,2,0,0,0
18563,1,0,0,0
14661,21,3,1,0
18561,5,0,0,0
18560,2,0,0,0
14664,6,0,0,0
14665,3,0,0,0
14666,3,1,0,0
18564,2,0,0,0
13099,4,0,0,0
13097,27,1,0,0
13092,14,0,0,0
13093,36,2,0,0
27828,2,0,0,0
27829,2,0,0,0
20297,319,14,2,0
20292,2,0,0,0
27821,6,0,0,0
20291,3,0,0,0
9384,2,0,0,0
796,14,0,0,0
9381,3,0,0,0
791,2,0,0,0
23508,12,0,0,0
9389,9,1,0,0
799,4,0,0,0
2142,1,0,0,0
11186,1,0,0,0
1138,1,1,0,0
1133,1,0,0,0
1131,16,0,1,0
1130,1,0,0,0
1137,1,0,0,0
13771,7,0,0,0
1135,3,1,0,0
15138,606,15,7,1
13776,35,1,0,0
26991,6,0,0,0
26994,1,0,0,0
7145,7,0,0,0
18747,1,0,0,0
18744,2,0,0,0
18743,20,1,0,0
18741,156,10,0,0
13584,1,0,0,0
18748,2,0,0,0
8053,1,0,0,0
8500,5,0,0,0
8504,3,0,0,0
8055,1,0,0,0
12870,19,0,1,0
8508,5,0,0,0
8058,4,1,0,0
12879,1,0,0,0
13585,3,0,0,0
19370,1,0,0,0
2880,1,0,0,0
7492,2,0,0,0
26660,3,0,1,0
7490,16,0,0,0
26662,1,0,0,0
26665,81,2,2,0
26667,4,0,0,0
7495,6,0,0,0
23013,48,7,2,0
24299,4,0,0,0
23015,1,0,0,0
23017,1,0,0,0
28097,7,0,0,0
23019,28,2,0,0
24296,3,0,0,0
24297,3,0,0,0
22633,9,1,0,0
22630,4,0,0,0
22636,11,0,0,0
22638,1,0,0,0
26523,76,9,1,2
26520,5,0,0,0
26521,2,0,0,0
26527,5,0,0,0
11168,1,0,0,0
26528,1,0,0,0
11169,2,0,0,0
24742,2,0,0,0
24746,2,0,0,0
24747,5,0,0,0
28898,3,0,2,0
28899,46,1,1,0
28675,40,1,0,0
28676,3,0,0,0
5621,12,0,0,0
14406,11,0,0,0
28896,8,0,0,0
1925,2,0,0,0
14407,9,0,0,0
11160,3,0,0,0
26298,34,2,0,0
4760,1,0,0,0
4763,19,0,0,0
4762,19,2,0,0
4767,8,0,0,0
26295,1,0,0,0
26297,33,0,0,0
7189,1,0,0,0
11245,4,0,0,0
11244,72,3,2,0
2616,1,0,0,0
8767,24,1,0,0
16028,11,0,0,0
1578,1,0,0,0
19038,4,0,0,0
5803,41,2,0,0
16021,1,0,0,0
19742,9,1,0,0
5807,3,0,0,0
19033,2,0,0,0
19746,1,0,0,0
16027,1,0,0,0
17372,37,0,1,0
17371,1,0,0,0
17376,1,0,0,0
684,19,1,0,0
25365,6,0,0,0
25364,1,0,0,0
25366,60,17,0,0
15200,4,1,0,0
23900,22,0,0,0
23907,4,2,0,0
23905,3,0,0,0
23904,1,0,0,0
11793,188,2,1,0
8769,2,1,1,0
11791,6,0,0,0
11790,93,5,2,0
11797,2,0,0,0
27212,1,0,0,0
27210,17,0,0,0
27217,2,0,0,0
20846,143,1,1,0
25500,19,1,0,0
25505,1,0,0,0
16689,1,0,0,0
16686,1,0,0,0
16681,3,0,0,0
4888,2,0,0,0
10350,4,0,0,0
10352,6,0,0,0
10353,15,4,0,0
2705,4,0,0,0
2704,1,0,0,0
2700,1,0,0,0
4887,12,0,1,0
7963,137,7,0,0
10688,3,0,0,0
7966,1,0,0,0
9178,1,0,0,0
9175,6,0,0,0
9174,1,0,0,0
10686,8,0,0,0
9172,1,0,0,0
10684,1,0,0,0
9170,1,0,0,0
16979,10,0,0,0
16972,18,2,0,0
16974,4,0,0,0
16975,2,0,0,0
17081,14,1,0,0
17080,3,0,0,0
12268,1,0,0,0
6258,1,0,0,0
17084,13,2,0,0
17087,54,4,1,0
17088,1,0,0,0
6255,10,0,1,0
10530,1,0,0,0
10531,2,0,0,0
10532,63,1,0,0
10534,4,0,0,0
10535,3,0,0,0
10536,1,0,0,0
14944,1,0,0,0
27575,1,0,0,0
18994,2,0,0,0
9713,2,0,0,0
9712,5,0,0,0
9711,1,0,0,0
9716,1,0,0,0
9714,6,0,0,0
3474,1,0,0,0
833,8,0,0,0
22995,4,0,0,0
22994,10,1,0,0
22993,13,0,0,0
8889,2,0,0,0
22991,2,0,0,0
835,3,0,0,0
21462,10,1,0,0
18971,1,0,0,0
8886,1,0,0,0
21461,7,0,0,0
21467,1,0,0,0
22999,6,1,0,0
18977,12,3,0,0
20591,4,0,0,0
20595,36,0,2,0
20594,2,0,0,0
20597,1,0,0,0
26852,19,0,0,0
26856,3,0,0,0
26855,2,0,0,0
26858,2,0,0,0
1729,1,0,0,0
9005,1,0,0,0
24292,1,0,0,0
15832,7,0,1,0
13134,1,0,0,0
15831,73,4,0,0
15837,1,0,0,0
15835,7,0,0,0
15838,19,1,0,0
5625,13,2,0,0
10229,1,0,0,0
7930,2,0,0,0
7024,1,0,0,0
28183,4,1,0,0
28461,1,0,0,0
28463,195,9,0,0
10678,11,2,0,0
28465,20,2,0,0
3000,2,0,0,0
28467,1,0,0,0
28466,33,0,0,0
28469,4,0,0,0
28468,1,0,0,0
5620,8,2,0,0
18351,3,0,0,0
18352,1,0,0,0
18353,127,1,2,0
20334,9,0,0,0
27456,7,0,0,0
20330,1,0,0,0
17968,16,0,1,0
27452,4,0,0,0
17966,2,0,0,0
1583,14,0,2,0
9109,6,1,0,0
1586,1,0,0,0
27458,97,0,4,0
17960,8,1,0,0
3314,1,0,0,0
9454,1,0,2,0
21516,2,0,0,0
2618,3,0,0,0
24035,2,0,0,0
5659,4,0,0,0
5656,1,0,0,0
5655,58,0,0,0
5652,24,2,0,0
5650,3,0,0,0
4452,100,12,2,0
23735,27,4,0,0
23736,17,0,0,0
28286,5,1,0,0
28280,5,0,0,0
23738,1,0,0,0
23739,5,0,0,0
16983,3,0,0,0
23228,1,0,0,0
23229,1,0,0,0
27020,4,0,0,0
27023,1,0,0,0
23222,2,0,0,0
23223,27,1,0,0
23220,1,0,0,0
21519,2,0,0,0
27028,15,1,0,0
12486,6,0,0,0
15308,12,4,0,0
15309,1,0,0,0
12465,1,0,0,0
12466,1,0,0,0
15307,19,4,0,0
6411,1,0,0,0
6410,1,0,0,0
15302,26,2,0,0
16986,14,0,2,0
7773,4,0,1,0
19255,3,0,0,0
21142,1,0,0,0
19487,1,0,0,0
2756,1,0,0,0
3914,1,0,0,0
3913,20,3,0,0
19489,4,0,0,0
6731,27,3,0,0
8316,9,1,0,0
6733,1,0,0,0
6734,12,1,0,0
8311,10,0,0,0
8313,104,3,1,0
6738,11,1,0,0
9929,5,0,0,0
5996,4,0,0,0
9921,1,0,0,0
9922,14,0,0,0
9926,4,0,0,0
216,1,0,0,0
217,30,6,0,0
214,1,0,0,0
215,48,1,0,0
19267,1,0,0,0
28980,1,0,0,0
16768,20,2,0,0
16766,1,0,0,0
23272,6,0,0,0
16762,2,0,0,0
10324,1,0,0,0
12078,20,2,0,0
6086,1,0,0,0
12076,12,1,0,0
6084,1,0,0,0
6085,2,0,0,0
22179,56,5,0,0
12072,10,0,0,0
6080,155,1,0,0
14931,16,0,0,0
3285,20,0,0,0
24863,2,0,0,0
5998,14,0,0,0
25770,72,0,1,0
25776,2,0,0,0
25774,1,0,0,0
24865,7,0,0,0
21852,10,0,0,0
24825,6,0,0,0
28732,2,0,0,0
21672,402,6,3,0
3649,2,0,0,0
3647,33,3,0,0
3644,1,0,0,0
3640,2,0,0,0
26087,7,2,0,0
26083,12,0,0,0
11476,1,0,0,0
11470,1,0,0,0
11471,6,0,0,0
5011,6,0,0,0
5012,7,0,0,0
5014,22,1,0,0
5015,26,2,0,0
17418,11,0,1,0
17417,5,0,0,0
17147,3,0,0,0
17141,5,0,0,0
17410,2,0,0,0
25192,4,0,0,0
25193,28,6,1,0
4418,7,0,0,0
13307,5,1,0,0
4412,5,0,0,0
4411,92,6,2,0
4410,11,0,0,0
919,1,0,0,0
9548,30,0,0,0
9549,286,6,1,1
915,17,0,1,0
917,4,0,0,0
911,602,26,2,0
9540,3,0,0,0
14821,14,2,0,0
20104,5,0,0,0
20102,1,0,0,0
20103,13,0,0,0
20101,3,0,1,0
20333,2,0,0,0
27595,3,0,0,0
27592,1,0,0,0
27593,2,0,0,0
27599,1,0,0,0
27849,6,0,0,0
27840,7,0,0,0
18501,6,0,1,0
11810,2,0,0,0
11812,4,0,0,0
18508,16,0,0,0
12838,1,0,0,0
15150,4,0,0,0
15153,11,0,0,0
15155,13,0,0,0
15159,220,2,0,0
15158,20,0,0,0
25052,3,0,0,0
29426,3,0,0,0
504,268,20,1,0
7168,25,0,0,0
7169,6,1,0,0
7160,10,0,0,0
391,5,0,0,0
3423,8,1,0,0
29392,4,0,0,0
29393,1,0,0,0
12899,11,2,0,0
631,1,0,0,0
12895,2,0,0,0
12891,1,0,0,0
8074,4,0,0,0
26647,3,0,0,0
26643,11,0,0,0
26642,1,0,0,0
26640,1,0,0,0
22010,1,0,0,0
1446,17,1,0,0
1115,12,0,0,0
20338,24,1,0,0
1440,7,0,0,0
1119,19,1,0,0
12322,2,0,0,0
23033,3,0,0,0
1218,2,1,0,0
23031,34,0,0,0
6331,112,1,0,0
22619,3,0,0,0
22349,2,0,0,0
22346,4,0,0,0
22613,2,0,0,0
22342,10,2,0,0
22343,2,0,0,0
26508,6,0,0,0
26505,1,0,0,0
15546,5,0,0,0
27739,18,0,0,0
12168,607,27,1,0
8268,1,0,0,0
17422,1,0,0,0
28616,38,1,0,0
28617,0,1,0,0
15543,6,0,0,0
18497,2,0,0,0
18496,7,1,0,0
6529,1,0,1,0
4789,1,0,0,0
8265,3,0,0,0
2306,3,1,0,0
4783,1,0,0,0
5821,1,0,0,0
19015,3,0,1,0
11269,1,0,0,0
23697,4,0,0,0
5824,2,0,0,0
5827,1,0,0,0
5826,1,0,0,0
11263,65,2,0,0
23698,23,3,0,0
19707,1,0,0,0
27737,8,0,0,0
16061,1,0,0,0
16062,2,0,0,0
25698,2,0,0,0
25349,0,1,0,0
25341,5,0,0,0
25340,1,0,0,0
25347,1,0,0,0
25694,2,0,0,0
25345,2,0,0,0
23969,9,0,0,0
27331,3,0,0,0
23961,1,0,0,0
9676,1,0,0,0
23967,1,0,0,0
14541,1,0,0,0
8887,1,0,0,0
11060,24,3,0,0
27270,1,0,0,0
27272,35,0,0,0
11063,1,0,0,0
27277,6,0,0,0
29214,4,0,0,0
25526,33,0,1,0
25525,1,0,0,0
25523,1,0,0,0
25522,2,0,0,0
194,2,1,0,0
191,1,0,0,0
190,1,0,0,0
193,1,0,0,0
192,12,0,0,0
21990,4,0,0,0
21991,13,0,0,0
21996,3,1,0,0
21994,9,0,0,0
21995,17,3,1,0
17424,1,0,0,0
3746,9,1,0,0
17317,1,0,0,0
17319,19,0,0,0
12790,13,3,0,0
12791,1,0,0,0
12797,1,0,0,0
12795,16,5,0,0
9154,1,0,0,0
9157,1,0,0,0
10334,1,0,0,0
9152,1,1,0,0
2762,33,0,1,0
10338,7,0,0,0
2766,2,0,0,0
2764,25,2,0,0
16406,436,15,0,0
16407,9,0,0,0
9489,6,0,0,0
16403,2,0,0,0
16956,3,0,0,0
9483,1,0,0,0
7901,1,0,0,0
7902,13,0,0,0
9487,11,1,0,0
9486,156,5,0,0
16409,10,0,1,0
12240,3,0,0,0
12241,1,0,0,0
12243,20,2,0,0
12244,1,0,0,0
6274,2,0,0,0
12247,1,0,0,0
17896,1,0,0,0
21190,1,0,0,0
21191,1,0,0,0
21196,3,0,0,0
21197,1,0,0,0
